Date : 2022-06-03 20:53:00
Directory : h:\Masters\Masters
Total : 223 files,  36472 codes, 444 comments, 639 blanks, all 37555 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\opt.yaml                                               | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\run-.-tag-acc (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\run-.-tag-loss (1).json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\val_acc.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN3\val_loss.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\hyp.yaml                                               | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\opt.yaml                                               | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\run-.-tag-acc (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\run-.-tag-loss (1).json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\val_acc.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN4\val_loss.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\hyp.yaml                                               | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\opt.yaml                                               | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\run-.-tag-acc (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\run-.-tag-loss (1).json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\val_acc.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN5\val_loss.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\hyp.yaml                                               | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\opt.yaml                                               | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\run-.-tag-acc (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\run-.-tag-loss (1).json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\val_acc.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN6\val_loss.json                                          | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\hyp.yaml                                                | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\opt.yaml                                                | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\run-.-tag-acc (1).json                                  | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\run-.-tag-loss (1).json                                 | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\val_acc.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN\val_loss.json                                           | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN_all\hyp.yaml                                            | YAML     |          9 |          0 |          1 |         10 |
| h:\Masters\Masters\deep_sl\results\augmentation_ablation_study\discrete\NvidiaCNN_all\opt.yaml                                            | YAML     |         29 |          0 |          1 |         30 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN2\hyp.yaml                                              | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN2\mean_squared_error.json                               | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN2\opt.yaml                                              | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN\hyp.yaml                                               | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN\mean_squared_error.json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\CustomCNN\opt.yaml                                               | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-CustomCNN\data_128.json                            | JSON     |      1,514 |          0 |          0 |      1,514 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-CustomCNN\data_32.json                             | JSON     |        874 |          0 |          0 |        874 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-CustomCNN\data_64.json                             | JSON     |      1,082 |          0 |          0 |      1,082 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NatureCNN\data_128.json                            | JSON     |      1,398 |          0 |          0 |      1,398 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NatureCNN\data_32.json                             | JSON     |        358 |          0 |          0 |        358 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NatureCNN\data_64.json                             | JSON     |        786 |          0 |          0 |        786 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NvidiaCNN\data_128.json                            | JSON     |      1,574 |          0 |          0 |      1,574 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NvidiaCNN\data_32.json                             | JSON     |        742 |          0 |          0 |        742 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\LR-Range-Test-NvidiaCNN\data_64.json                             | JSON     |      1,170 |          0 |          0 |      1,170 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NatureCNN\hyp.yaml                                               | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NatureCNN\mean_squared_error.json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NatureCNN\opt.yaml                                               | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NvidiaCNN\hyp.yaml                                               | YAML     |         13 |          0 |          1 |         14 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NvidiaCNN\mean_squared_error.json                                | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\continuous\NvidiaCNN\opt.yaml                                               | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\hyp.yaml                                                 | YAML     |         14 |          0 |          1 |         15 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\opt.yaml                                                 | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\run-.-tag-acc.json                                       | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\run-.-tag-loss.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\val_acc.json                                             | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\CustomCNN\val_loss.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-CustomCNN\data_128.json                              | JSON     |        750 |          0 |          0 |        750 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-CustomCNN\data_32.json                               | JSON     |        798 |          0 |          0 |        798 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-CustomCNN\data_64.json                               | JSON     |        838 |          0 |          0 |        838 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NatureCNN\data_128.json                              | JSON     |        978 |          0 |          0 |        978 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NatureCNN\data_32.json                               | JSON     |        898 |          0 |          0 |        898 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NatureCNN\data_64.json                               | JSON     |        894 |          0 |          0 |        894 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NvidiaCNN\data_128.json                              | JSON     |        794 |          0 |          0 |        794 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NvidiaCNN\data_32.json                               | JSON     |        802 |          0 |          0 |        802 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\LR-Range-Test-NvidiaCNN\data_64.json                               | JSON     |        846 |          0 |          0 |        846 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\hyp.yaml                                                 | YAML     |         14 |          0 |          1 |         15 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\opt.yaml                                                 | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\run-.-tag-acc.json                                       | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\run-.-tag-loss.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\val_acc.json                                             | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NatureCNN\val_loss.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\hyp.yaml                                                 | YAML     |         14 |          0 |          1 |         15 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\opt.yaml                                                 | YAML     |         30 |          0 |          1 |         31 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\run-.-tag-acc.json                                       | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\run-.-tag-loss.json                                      | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\val_acc.json                                             | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\results\network_architecture_study\discrete\NvidiaCNN\val_loss.json                                            | JSON     |          1 |          0 |          0 |          1 |
| h:\Masters\Masters\deep_sl\tf_main.py                                                                                                     | Python   |        216 |         33 |         73 |        322 |
| h:\Masters\Masters\utils\__init__.py                                                                                                      | Python   |          0 |          0 |          1 |          1 |
| h:\Masters\Masters\utils\augment.py                                                                                                       | Python   |         87 |         23 |         21 |        131 |
| h:\Masters\Masters\utils\image_processing.py                                                                                              | Python   |         36 |         30 |         15 |         81 |
| h:\Masters\Masters\utils\model.py                                                                                                         | Python   |         57 |          2 |         10 |         69 |
| h:\Masters\Masters\utils\path.py                                                                                                          | Python   |         55 |          8 |         12 |         75 |
| h:\Masters\Masters\utils\plot_rl_results.py                                                                                               | Python   |         84 |          7 |         22 |        113 |
| h:\Masters\Masters\utils\plot_sl_lr_range_test_results.py                                                                                 | Python   |         76 |          4 |         26 |        106 |
| h:\Masters\Masters\utils\plot_sl_results.py                                                                                               | Python   |         74 |         10 |         21 |        105 |
| Total                                                                                                                                     |          |     36,472 |        444 |        639 |     37,555 |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
